Input velocities or energy: 
Starting time t0, initial position (r0, phi0), initial specific energy and ang. momentum (E, L), and final t point t1: 
Read: t0 = 0 r0 = 10 phi0 = -0.75 E_ini = 0 L_ini = 1 sign of radial velocity = -1 t1 = 100
Calculated vr0 and vphi0: t0=0 r0=10 phi0=-0.75 vr0=-0.43589 vphi0=0.01 t1=100
Number of time steps n = 10001
Initial energy, angular momentum, and eccentricity are E_ini = -1.38778e-17, L_ini = 1, and eccen_ini = 1 
t 	 r 	 phi 	 vr 	 vphi 	 x(t) 	 y(t) 	 E(t) 	 L(t) 	 (E_ini - E(t)) / E_ini 	 (L_ini - L(t)) / L_ini 	 (eccen_ini - eccen_t) / eccen_ini 
6.831000000000000e+01 	 2.260804432107102e+01 	 4.783621957326831e+00 	 2.941217732980450e-01 	 1.956473673705960e-03 	 1.609076714557537e+00 	 -2.255071041342557e+01 	 2.095118717404532e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.832000000000001e+01 	 2.261098544531518e+01 	 4.783641519518658e+00 	 2.941030763256724e-01 	 1.955964730128264e-03 	 1.609727240865651e+00 	 -2.255361259351304e+01 	 2.095118724343425e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960252208974225e-10 	 -2.095118745160107e-09 
6.833000000000000e+01 	 2.261392638261337e+01 	 4.783661076622203e+00 	 2.940843841040273e-01 	 1.955456017445282e-03 	 1.610377753248816e+00 	 -2.255651457850034e+01 	 2.095118710465638e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.834000000000000e+01 	 2.261686713301309e+01 	 4.783680628639776e+00 	 2.940656966309984e-01 	 1.954947535507691e-03 	 1.611028251706843e+00 	 -2.255941636843848e+01 	 2.095118703526744e-09 	 1.000000000496026e+00 	 0.000000000000000e+00 	 -4.960256649866324e-10 	 -2.095118745160107e-09 
6.835000000000001e+01 	 2.261980769656181e+01 	 4.783700175573682e+00 	 2.940470139044760e-01 	 1.954439284166295e-03 	 1.611678736239516e+00 	 -2.256231796337847e+01 	 2.095118717404532e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.836000000000000e+01 	 2.262274807330699e+01 	 4.783719717426227e+00 	 2.940283359223515e-01 	 1.953931263272023e-03 	 1.612329206846658e+00 	 -2.256521936337125e+01 	 2.095118710465638e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.837000000000000e+01 	 2.262568826329607e+01 	 4.783739254199715e+00 	 2.940096626825177e-01 	 1.953423472675927e-03 	 1.612979663528084e+00 	 -2.256812056846777e+01 	 2.095118710465638e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.838000000000000e+01 	 2.262862826657645e+01 	 4.783758785896448e+00 	 2.939909941828688e-01 	 1.952915912229186e-03 	 1.613630106283604e+00 	 -2.257102157871898e+01 	 2.095118710465638e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.839000000000000e+01 	 2.263156808319552e+01 	 4.783778312518726e+00 	 2.939723304213002e-01 	 1.952408581783105e-03 	 1.614280535113025e+00 	 -2.257392239417575e+01 	 2.095118703526744e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.840000000000001e+01 	 2.263450771320066e+01 	 4.783797834068849e+00 	 2.939536713957088e-01 	 1.951901481189110e-03 	 1.614930950016167e+00 	 -2.257682301488896e+01 	 2.095118703526744e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.841000000000000e+01 	 2.263744715663921e+01 	 4.783817350549115e+00 	 2.939350171039928e-01 	 1.951394610298755e-03 	 1.615581350992843e+00 	 -2.257972344090948e+01 	 2.095118696587850e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.842000000000000e+01 	 2.264038641355851e+01 	 4.783836861961820e+00 	 2.939163675440516e-01 	 1.950887968963717e-03 	 1.616231738042884e+00 	 -2.258262367228812e+01 	 2.095118696587850e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.843000000000001e+01 	 2.264332548400586e+01 	 4.783856368309259e+00 	 2.938977227137861e-01 	 1.950381557035797e-03 	 1.616882111166095e+00 	 -2.258552370907569e+01 	 2.095118689648956e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.844000000000000e+01 	 2.264626436802854e+01 	 4.783875869593725e+00 	 2.938790826110984e-01 	 1.949875374366921e-03 	 1.617532470362315e+00 	 -2.258842355132298e+01 	 2.095118696587850e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.845000000000000e+01 	 2.264920306567383e+01 	 4.783895365817510e+00 	 2.938604472338919e-01 	 1.949369420809139e-03 	 1.618182815631337e+00 	 -2.259132319908075e+01 	 2.095118689648956e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.846000000000001e+01 	 2.265214157698896e+01 	 4.783914856982904e+00 	 2.938418165800715e-01 	 1.948863696214623e-03 	 1.618833146973010e+00 	 -2.259422265239974e+01 	 2.095118696587850e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960252208974225e-10 	 -2.095118745160107e-09 
6.847000000000000e+01 	 2.265507990202117e+01 	 4.783934343092197e+00 	 2.938231906475434e-01 	 1.948358200435672e-03 	 1.619483464387137e+00 	 -2.259712191133066e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960252208974225e-10 	 -2.095118523115502e-09 
6.848000000000000e+01 	 2.265801804081764e+01 	 4.783953824147675e+00 	 2.938045694342149e-01 	 1.947852933324707e-03 	 1.620133767873555e+00 	 -2.260002097592420e+01 	 2.095118696587850e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118745160107e-09 
6.848999999999999e+01 	 2.266095599342557e+01 	 4.783973300151625e+00 	 2.937859529379949e-01 	 1.947347894734271e-03 	 1.620784057432097e+00 	 -2.260291984623103e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
6.850000000000000e+01 	 2.266389375989212e+01 	 4.783992771106331e+00 	 2.937673411567934e-01 	 1.946843084517034e-03 	 1.621434333062589e+00 	 -2.260581852230179e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
6.851000000000001e+01 	 2.266683134026442e+01 	 4.784012237014077e+00 	 2.937487340885220e-01 	 1.946338502525787e-03 	 1.622084594764852e+00 	 -2.260871700418712e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
6.852000000000000e+01 	 2.266976873458959e+01 	 4.784031697877142e+00 	 2.937301317310932e-01 	 1.945834148613443e-03 	 1.622734842538722e+00 	 -2.261161529193761e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
6.853000000000000e+01 	 2.267270594291474e+01 	 4.784051153697809e+00 	 2.937115340824213e-01 	 1.945330022633041e-03 	 1.623385076384029e+00 	 -2.261451338560383e+01 	 2.095118689648956e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118745160107e-09 
6.854000000000001e+01 	 2.267564296528693e+01 	 4.784070604478354e+00 	 2.936929411404216e-01 	 1.944826124437740e-03 	 1.624035296300597e+00 	 -2.261741128523635e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
